国家,组别,位置,球员,俱乐部,联赛,身价_万欧,国家队进球,国家队助攻,世界杯进球,世界杯助攻,生涯总进球,生涯总助攻,本赛季俱乐部_进球,本赛季俱乐部_助攻,主要荣誉,号码,数据来源,年龄
加拿大,B组,中场,史蒂芬·欧斯塔基奥,洛杉矶FC,美职联,700,4,3,0,0,21,2,0,2,葡萄牙U21│葡超冠军21/22│葡杯三连冠22-24│葡超杯24/25,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
加拿大,B组,中场,马塞洛·弗洛雷斯,墨西哥美洲虎,墨超,450,0,0,0,0,90,18,2,1,,21,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,38
加拿大,B组,中场,伊斯梅尔·科内,萨索洛,意甲,2500,0,0,0,0,97,19,1,1,意甲冠军│意大利杯,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
加拿大,B组,中场,利亚姆·米勒,赫尔城,英冠,300,0,0,0,0,60,12,1,1,英冠冠军│升级附加赛,22,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
加拿大,B组,中场,乔纳森·奥索里奥,多伦多FC,美职联,120,0,0,0,0,75,15,2,2,支持者盾,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
加拿大,B组,中场,内森·萨利巴,安德莱赫特,比甲,600,0,0,0,0,67,13,0,1,,7,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,22
加拿大,B组,中场,沙菲尔伯格,洛杉矶FC,美职联,300,0,0,0,0,75,15,3,2,支持者盾,9,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
加拿大,B组,前锋,乔纳森·戴维,尤文图斯,意甲,3000,30,12,1,0,120,40,8,5,法甲冠军 2021 比甲金靴 2020,24,FBref全赛事 Juventus,26
加拿大,B组,前锋,普罗米斯·戴维,圣吉罗斯联合,比甲,1700,5,3,0,0,80,30,5,2,,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
加拿大,B组,前锋,凯尔·拉林,南安普顿,英冠,250,30,6,0,0,132,33,8,2,2022世界杯│2024美洲杯,25,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,31
加拿大,B组,前锋,奥卢瓦塞伊,比利亚雷亚尔,西甲,800,0,0,0,0,105,21,3,1,西甲冠军│国王杯,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
巴西,C组,门将,阿利松,利物浦,英超,1700,0,0,0,0,1,1,0,0,英超冠军 2019/20 欧冠 2019 美洲杯 2019 世界杯 2022,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,33
巴西,C组,门将,埃德森,费内巴切,土超,1300,0,0,0,0,0,0,0,0,英超冠军 2018/19/21/22/23 欧冠 2023 世俱杯 2023 巴西甲 2018,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,32
巴西,C组,门将,韦弗顿,格雷米奥,巴甲,70,0,0,0,0,5,0,0,0,巴甲冠军 2018 解放者杯 2017,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,38
巴西,C组,后卫,马尔基尼奥斯,巴黎圣日耳曼,法甲,3000,0,0,0,0,40,5,2,0,法甲冠军 2017-2024 世界杯 2022 美洲杯 2019,5,FBref全赛事 PSG,32
巴西,C组,后卫,加布里埃尔,阿森纳,英超,7500,0,0,0,0,30,5,4,5,无,6,FBref全赛事 Arsenal,27
巴西,C组,后卫,布雷默,尤文图斯,意甲,3500,0,0,0,0,20,5,4,3,意甲冠军 2024 意甲杯 2024,2,FBref全赛事 Juventus,29
巴西,C组,后卫,伊巴涅斯,里昂,法甲,1700,0,0,0,0,20,2,1,0,巴西甲冠军 2020,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,27
巴西,C组,后卫,莱奥·佩雷拉,弗拉门戈,巴甲,1000,0,0,0,0,15,3,2,0,解放者杯 2019 巴甲冠军 2019/20,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,30
巴西,C组,后卫,阿莱士·桑德罗,弗拉门戈,巴甲,150,0,0,0,0,10,8,1,4,意甲冠军 2017-2020 巴西甲冠军 2013 解放者杯 2013,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
巴西,C组,后卫,达尼洛,弗拉门戈,巴甲,250,0,0,0,0,15,5,0,2,西甲冠军 2017 意甲冠军 2017/18,15,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
巴西,C组,后卫,韦斯利,弗拉门戈,巴甲,4000,0,0,0,0,15,5,1,0,巴甲冠军 2022,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,22
巴西,C组,后卫,道格拉斯·桑托斯,泽尼特,俄超,800,0,0,0,0,5,3,1,3,俄超冠军 2019/20/21,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,35
巴西,C组,中场,卡塞米罗,曼联,英超,800,9,5,0,0,50,20,3,2,英超冠军│英格兰足总杯,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
巴西,C组,中场,布鲁诺·吉马良斯,纽卡斯尔联,英超,7500,2,5,0,0,40,20,9,8,英超冠军│英格兰足总杯,19,Newcastle官网全赛事 36场9球8助,28
巴西,C组,中场,法比尼奥,吉达联合,沙特联,1300,0,0,0,0,30,10,2,1,英超冠军 2019/20 欧冠 2019 世俱杯 2019,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,32
巴西,C组,中场,卢卡斯·帕奎塔,西汉姆联,英超,3500,0,0,0,0,30,15,3,2,法甲冠军 2022,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
巴西,C组,中场,达尼洛·桑托斯,诺丁汉森林,英超,2400,0,0,0,0,15,5,1,1,2022世界杯│2019美洲杯,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
巴西,C组,前锋,维尼修斯,皇家马德里,西甲,15000,9,10,0,0,130,50,22,10,欧冠 2022/24 西甲冠军 2022/24 世俱杯 2024 国王杯 2023,7,FBref全赛事 RealMadrid,26
巴西,C组,前锋,拉菲尼亚,巴塞罗那,西甲,8000,11,8,0,0,110,50,21,7,西甲冠军 2024/25/26 国王杯 2025 西超杯 2025/26 欧冠金靴 2024/25,24,FBref全赛事 Barcelona,29
巴西,C组,前锋,内马尔,桑托斯,巴甲,1000,79,60,6,2,450,180,6,3,西甲冠军 2016/17/19/20 巴甲冠军 2011 欧冠 2015 美洲杯 2019│2025年1月免签回桑托斯 13场6球3助(2025-26)│已续约至2026年12月,21,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
巴西,C组,前锋,恩德里克,里昂,法甲,3500,0,0,0,0,25,10,8,7,巴甲冠军 2022 解放者杯 2022,9,FBref全赛事: 皇马3场0G + 里昂21场8G7A,19
巴西,C组,前锋,马丁内利,阿森纳,英超,4500,4,5,0,0,50,30,11,7,英超冠军 2025/26 社区盾 2020,25,FBref全赛事 Arsenal,25
巴西,C组,前锋,库尼亚,曼联,英超,7000,0,0,0,0,100,30,10,2,马竞效力时期 巴甲冠军 2017,22,FBref全赛事 ManUtd,27
巴西,C组,前锋,伊戈尔·蒂亚戈,弗拉门戈,巴甲,5000,0,0,0,0,30,10,15,4,巴甲金靴 2025,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,35
巴西,C组,前锋,拉扬,伯恩茅斯,英超,4000,0,0,0,0,25,10,9,3,无,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,19
巴西,C组,前锋,路易斯·恩里克,马赛,法甲,2400,0,0,0,0,20,10,5,2,西甲冠军 2020 国王杯 2021,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
海地,C组,门将,约翰尼·普拉西德,巴斯蒂亚,法乙,140,0,0,0,0,30,6,0,0,,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,门将,亚历山大·皮埃尔,索肖,法乙,50,0,0,0,0,30,6,0,0,,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,门将,约书亚·迪韦尔热,科布伦茨宇宙,德乙,5,0,0,0,0,30,6,0,0,,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,后卫,卡伦斯·阿尔库斯,昂热,法乙,180,0,0,0,0,30,6,0,0,,2,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,后卫,威尔古恩斯·波冈,祖尔特瓦勒海姆,比甲,60,0,0,0,0,45,9,0,0,,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,后卫,里卡多·阿德,基多大学,厄甲,30,0,0,0,0,30,6,0,0,,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,后卫,让-凯文·杜维尔,根特,比甲,200,0,0,0,0,45,9,0,0,,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,37
海地,C组,后卫,汉内斯·德尔克鲁瓦,卢加诺,瑞士超,200,0,0,0,0,30,6,0,0,,6,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
海地,C组,后卫,基托·瑟莫西,伯尔尼年轻人,瑞士超,2.5,0,0,0,0,30,6,0,0,,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,后卫,马丁·埃克斯佩里恩塞,南锡,法乙,40,0,0,0,0,30,6,0,0,,15,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,后卫,杜克·拉克鲁瓦,科罗拉多泉波路,美职联,12.5,0,1,0,0,82,20,0,0,海地国脚,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,中场,约书亚·卡西米尔,欧塞尔,法乙,350,0,0,0,0,45,9,0,0,,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
海地,C组,中场,莱弗顿·皮埃尔,维泽拉,葡超,20,0,0,0,0,75,15,0,0,葡超冠军│葡萄牙杯,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,中场,多米尼克·西蒙,扑雷索夫,斯洛伐克超,22.5,0,0,0,0,45,9,0,0,,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,中场,伍登斯基·皮埃尔,雷亚尔希望,海地联,10,0,0,0,0,45,9,0,0,,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,中场,卡尔·弗雷德·桑特,埃尔帕索机车,美职联,12.5,0,0,0,0,90,18,0,0,,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,中场,丹利·让-雅克,费城联合,美职联,400,0,0,0,0,75,15,0,0,支持者盾,19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,中场,让-里克内·贝勒加德,狼队,英超,1600,5,2,0,0,120,24,0,0,英超冠军│英格兰足总杯,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,27
海地,C组,前锋,达肯斯·纳松,德黑兰独立,伊朗超,90,0,0,0,0,45,9,0,0,,7,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,前锋,弗兰茨·皮埃罗,里泽体育,土超,250,0,0,0,0,75,15,0,0,,9,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,前锋,迪德森·卢伊修斯,达拉斯,美职联,120,0,0,0,0,75,15,0,0,支持者盾,21,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,前锋,鲁本·普罗维登斯,阿尔梅勒城,荷甲,30,0,0,0,0,75,15,0,0,荷兰杯,22,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,前锋,亚辛·福琼,维泽拉,葡超,20,0,0,0,0,75,15,0,0,葡超冠军│葡萄牙杯,24,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,前锋,威尔逊·伊西多尔,桑德兰,英冠,1800,0,0,0,0,60,12,0,0,英冠冠军│升级附加赛,25,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,25
海地,C组,前锋,伦尼·约瑟夫,费伦茨瓦罗斯,匈甲,120,0,0,0,0,45,9,0,0,,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
海地,C组,前锋,德里克·埃蒂安,多伦多,美职联,80,0,0,0,0,75,15,0,0,支持者盾,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,门将,加林德斯,飓风,阿超,30,0,0,0,0,30,6,0,0,,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,门将,拉米雷斯,基菲西亚,希超,175,0,0,0,0,30,6,0,0,,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,48
厄瓜多尔,E组,门将,巴列,LD基多,厄甲,180,0,0,0,0,30,6,0,0,,22,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,后卫,埃斯图皮尼安,AC米兰,意甲,1200,0,0,0,0,65,13,1,2,意甲冠军 2022 意大利超级杯 2022,7,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
厄瓜多尔,E组,后卫,因卡皮耶,阿森纳,英超,5000,0,0,0,0,80,16,1,2,英超冠军 2025/26,3,FBref全赛事 Arsenal,24
厄瓜多尔,E组,后卫,梅迪纳,亨克,比甲,400,0,0,0,0,45,9,0,0,,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,后卫,奥多涅斯,布鲁日,比甲,3300,0,0,0,0,45,9,0,0,,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,后卫,帕乔,巴黎圣日耳曼,法甲,7000,1,0,0,0,12,1,2,1,法甲冠军 2024/25/26 欧冠 2025,6,FBref全赛事 PSG,24
厄瓜多尔,E组,后卫,波罗佐,蒂华纳,墨超,250,0,0,0,0,60,12,0,0,,25,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,后卫,普雷西亚多,米内罗竞技,巴甲,350,0,0,0,0,70,14,0,0,,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,后卫,托雷斯,巴西国际,巴甲,100,0,0,0,0,70,14,0,0,,2,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,中场,阿尔西瓦尔,山谷独立,厄甲,180,0,0,0,0,45,9,1,1,解放者杯 2024,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,中场,安古洛,桑德兰,英冠,1700,0,0,0,0,60,12,0,0,英冠冠军│升级附加赛,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,37
厄瓜多尔,E组,中场,莫伊塞斯·凯塞多,切尔西,英超,11000,18,0,0,0,22,1,4,1,英超冠军 2025/26 世俱杯 2025,23,FBref全赛事 Chelsea,24
厄瓜多尔,E组,中场,卡斯蒂略,米迪兰特,丹超,700,0,0,0,0,45,9,0,0,,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,中场,阿兰·佛朗哥,米内罗竞技,巴甲,350,0,0,0,0,105,21,1,0,,21,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,35
厄瓜多尔,E组,中场,阿兰·明达,米内罗竞技,巴甲,350,0,0,0,0,105,21,0,0,,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,中场,肯德里·派斯,河床,阿超,800,0,0,0,0,45,9,2,2,,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,中场,佩德罗·维特,普马斯,墨超,350,0,0,0,0,90,18,1,0,,15,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,38
厄瓜多尔,E组,前锋,阿雷瓦洛,斯图加特,德甲,700,0,0,0,0,105,21,2,1,德甲冠军│德国杯,24,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,前锋,乔迪·凯塞多,河床,阿超,200,7,3,0,0,35,20,2,1,厄瓜多尔队│2022世界杯│2024美洲杯,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,前锋,贡萨洛·普拉塔,弗拉门戈,巴甲,900,4,1,0,0,21,2,3,1,2025解放者杯│2025巴甲冠军│2024美洲杯(厄瓜多尔),19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,前锋,安东尼·瓦伦西亚,皇家安特卫普,比甲,100,0,0,0,0,67,13,1,0,,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,前锋,恩纳·瓦伦西亚,帕丘卡,墨超,300,40,19,0,0,160,45,8,1,2022世界杯│美洲杯2次,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,前锋,凯文·罗德里格斯,圣吉罗斯联,比甲,500,5,3,0,0,48,15,1,0,比甲主力(圣吉罗斯联)│厄瓜多尔国脚,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
厄瓜多尔,E组,中场,约翰·叶博亚,威尼斯,意乙,500,5,0,0,0,97,19,1,0,德甲U19北/东北冠军│2017U17世界杯(德国U17)│2025-26意乙冠军(威尼斯),9,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,109
库拉索,E组,门将,埃洛伊·鲁姆,迈阿密FC,美职联,15,0,0,0,0,50,10,0,0,支持者盾,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,37
库拉索,E组,门将,特雷弗·杜恩布什,芬洛,荷甲,5,0,0,0,0,50,10,0,0,荷兰杯,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
库拉索,E组,门将,泰里克·波达克,特尔斯达,荷甲,2.5,0,0,0,0,50,10,0,0,荷兰杯,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
库拉索,E组,后卫,巴佐尔,科尼亚体育,土超,220,0,0,0,0,50,10,0,0,,2,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,后卫,布雷内特,开塞利体育,土超,120,0,0,0,0,50,10,0,0,,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,后卫,范艾马,瓦尔韦克,荷甲,37.5,0,0,0,0,50,10,0,0,荷兰杯,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,后卫,弗洛拉努斯,兹沃勒,荷甲,80,0,0,0,0,50,10,0,0,荷兰杯,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,后卫,丰维尔,奈梅亨,荷甲,100,0,0,0,0,50,10,0,0,荷兰杯,6,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,后卫,加里,艾卜哈,沙特联,40,0,0,0,0,30,6,0,0,,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,后卫,奥比斯波,埃因霍温,荷甲,400,0,0,0,0,50,10,0,0,荷兰杯,15,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,后卫,桑博,鹿特丹斯巴达,荷甲,150,0,0,0,0,50,10,0,0,荷兰杯,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,中场,儒尼尼奥·巴库纳,福伦丹,荷甲,220,0,0,0,0,75,15,0,0,荷兰杯,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
库拉索,E组,中场,莱安德罗·巴库纳,厄德尔,罗甲,25,0,0,0,0,45,9,0,0,,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
库拉索,E组,中场,科门西亚,苏黎世,瑞士超,70,0,0,0,0,45,9,0,0,,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,中场,费利达,邓伯什,荷甲,35,0,0,0,0,75,15,0,0,荷兰杯,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,中场,马尔塔,罗瑟勒姆,英甲,70,4,1,0,0,21,2,0,0,荷兰U15-U17青年队,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,中场,诺斯林,特尔斯达,荷甲,75,0,0,0,0,75,15,0,0,荷兰杯,19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,中场,罗默拉托,瓦尔韦克,荷甲,40,0,0,0,0,75,15,0,0,荷兰杯,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,前锋,安东尼斯,基菲萨,塞甲,80,0,0,0,0,45,9,0,0,,7,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,前锋,陈达毅,谢菲尔德联,英冠,450,0,0,0,0,60,12,0,0,英冠冠军│升级附加赛,9,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,前锋,戈雷,海法马卡比,以超,65,0,0,0,0,45,9,0,0,,21,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,前锋,汉森,米德尔斯堡,英冠,400,0,0,0,0,60,12,0,0,英冠冠军│升级附加赛,22,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,前锋,卡斯塔内尔,登嘉楼,马超,17.5,4,1,0,0,21,2,0,0,马来西亚超级联赛主力,24,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,前锋,库瓦斯,福伦丹,荷甲,30,0,0,0,0,75,15,0,0,荷兰杯,25,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,前锋,洛卡迪亚,迈阿密FC,美职联,20,0,0,0,0,75,15,0,0,支持者盾,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
库拉索,E组,前锋,马加里萨,贝弗伦,比甲,100,0,0,0,0,67,13,0,0,,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
德国,E组,门将,曼努埃尔·诺伊尔,拜仁慕尼黑,德甲,400,0,0,0,0,0,0,0,0,2014世界杯冠军│欧冠冠军,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,1986-03-27
德国,E组,门将,鲍曼,霍芬海姆,德甲,300,0,0,0,0,70,14,0,0,德甲冠军│德国杯,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,36
德国,E组,门将,努贝尔,斯图加特,德甲,1200,0,0,0,0,0,0,0,0,,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
德国,E组,后卫,安东尼奥·吕迪格,皇家马德里,西甲,2000,12,3,0,0,48,16,1,0,欧冠2次│2024欧洲杯,15,FBref全赛事 RealMadrid,33
德国,E组,后卫,安东,多特蒙德,德甲,3000,0,0,0,0,70,14,0,0,德甲冠军│德国杯,2,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,1993-03-03
德国,E组,后卫,约纳坦·塔,拜仁慕尼黑,德甲,3000,4,1,0,0,21,2,1,0,2024欧洲杯,6,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,30
德国,E组,后卫,施洛特贝克,多特蒙德,德甲,5500,1,1,0,0,40,25,5,1,德甲冠军 2024 德国超级杯 2024,3,FBref全赛事 39场5球1助(CB),26
德国,E组,后卫,佳夫,纽卡斯尔联,英超,4500,0,0,0,0,15,5,1,1,德甲冠军 2023/24 德国超级杯 2023,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
德国,E组,后卫,约书亚·基米希,拜仁慕尼黑,德甲,4000,5,25,0,0,50,120,2,12,德甲冠军 2018/19/20/21/22/23 欧冠 2020 世俱杯 2020,14,FBref全赛事 Bayern,31
德国,E组,后卫,大卫·劳姆,莱比锡,德甲,2500,3,5,0,0,22,32,3,9,2024欧洲杯,4,FBref全赛事 Leipzig,1998-04-22
德国,E组,后卫,布朗,法兰克福,德甲,1275,0,0,0,0,70,14,0,0,德甲冠军│德国杯,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,90
德国,E组,中场,帕夫洛维奇,拜仁慕尼黑,德甲,9000,2,2,0,0,30,15,4,2,塞尔维亚裔,22,FBref全赛事 Bayern,22
德国,E组,中场,格雷茨卡,拜仁慕尼黑,德甲,2000,0,0,0,0,105,21,5,4,德甲冠军│德国杯,8,FBref全赛事 Bayern,31
德国,E组,中场,施蒂勒,斯图加特,德甲,1500,0,0,0,0,105,21,0,2,德甲冠军│德国杯,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,25
德国,E组,中场,阿米里,美因茨,德甲,1500,0,0,0,0,105,21,4,2,德甲冠军│德国杯,19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
